id,idea,source,section,kind,law,vibe,language_fit_budget,build,anti_slop,risk,sort_key,page
A-11,"Hero architecture alternate: the photograph as a full-width band bleeding off top, left and right, with the headline on black beneath it rather than beside it.",A10,HOME H1,layout,"partial — architecture, not effect",minimal · expensive,"An alternate to §5's side-by-side. §5 currently offers only subject alternates, none about architecture",MEDIUM,none,pushes the primary call to action toward the fold on short viewports,1,HOME
A-12,"Approach takes one full-bleed transition band between chapters: an extreme meadow crop, untreated, local time in one corner and the chapter number in the other.",A11,"APPROACH, between A3 and A4",layout,partial — the band's content is the world; its job is breath,expensive · human,"The shape table's ""section transition band"" is assigned nowhere. Adds an eighth photographic surface to a set deliberately held at seven",MEDIUM,none,Approach is a document; a photographic band can make it look like a landing page again,12,APPROACH
A-13,"Build the hero's glyph ramp only from characters the instrument layer already uses — digits, slash, dot, plus — so the swarm is drawn in the site's own numerals.",A12,HOME H1,image,"partial — a material choice, not a derivation from the subject",futuristic · minimal · technological,Binds the tech layer to §10's instrument layer instead of inventing a second alphabet,EASY,none,a ramp of digits can accidentally spell a number; the renderer must break runs,1,HOME
A-14,"Keep the hero overlay-mode only, monochrome cream on sky. Moment 1 as written is conversion, so it is not actually spent by §5 — name where it goes.",A12,HOME H1,image,yes — §4 of the brief forbids conflating the two colour modes,minimal · technological,Structural. `DESIGN-LANGUAGE` moment 1 (marks inherit colour from the pixel beneath) does not describe §5's hero. One of the two has to move,EASY (a decision),none,"unnoticed, it ships a hero that is not the moment the budget believes it spent",1,HOME
A-15,Spend the conversion glyph field on the one sharp flower head left in H10's blur — the single thing the swarm touched in a field it left alone.,"A12, A20",HOME H10,image,yes — one real object redrawn from its own pixels,human · technological,Puts moments 1 and 3 in one frame. The budget allows each once but not obviously together,MEDIUM,none,two treatments in one frame can read as a filter and lose the un-effected anchor,9,HOME
A-16,"Every field ends in a long sparse tail of isolated units, not a smooth density ramp. The last marks sit far from the mass.","A13, A14",site-wide,image,partial — a tuning rule for an existing invariant,minimal · expensive,"Tunes ""every field dissolves at its edge"". No budget change",EASY,none,too long a tail reads as noise at small viewports,30,SITE-WIDE
A-17,H7: two bone dot fields enter from the corners along the flight-line diagonal. Already proposed (§17.3). New — the tail is discrete units at falling frequency and the mass never resolves into a shape.,A13,HOME H7,image,no — compositional; the chapter has no subject to derive from,minimal · futuristic,Already proposed. Takes the slot the unspent double exposure is holding,MEDIUM,none,"a second dot appearance makes dots a style, which the language permits by name",6,HOME
A-18,Loading state: the mark assembles along the diagonal from isolated marks into solid — the dissolve tail run backwards.,A13,TOUCHPOINT loading,motion,partial — derived from the mark,futuristic · minimal,§11 already proposes the halftone-dissolve mark; this names its direction and order,EASY,none,"if the site never needs a loader, this is unused work",40,TOUCHPOINT/OFF-SITE
A-19,Mosaic-dissolve tiles nearest the photograph carry image colour; tiles nearest the ground carry ground colour. The crossover between them is the front.,A14,every photo edge,image,yes — the tiles sample the photograph they are leaving,expensive · clean,Mechanises an invariant the language states but does not specify,MEDIUM,none,"flat ground-coloured tiles read as erasure rather than dissolution, and that is the cheap build",30,SITE-WIDE
A-20,"The survey line is hand-irregular rather than a smooth vector, and its label interrupts the line instead of floating beside it.",A15,HOME H5 · ABOUT B1,image,partial — a drawing-quality rule,human · expensive,Same slot as A-08. Costs nothing extra,EASY,none,irregularity done badly reads as a sloppy path,4,HOME
A-21,Any photograph carrying a survey overlay is authored down in contrast first. The line reads because the picture is quiet beneath it.,A15,HOME H5,image,partial — a compositing rule,clean · expensive,"Consistent with ""sharp mark against imperfect photograph"". No conflict",EASY,none,flattening the photograph too far loses the grain the language asks for,4,HOME
A-22,"H6 stays image-free and takes A16's numbering instead: `01`–`04` in mono at the head of each channel list, with the existing hairline rules doing the dividing.",A16,HOME H6,layout,partial — a layout borrow; the section has no subject,clean · minimal,"Adds no photograph to a section counted as image-free. The figures are ordinals, not counts",EASY,none,ordinals can be misread as a ranking of the channels,5,HOME
A-23,"Photograph Adam and Yarden in one frame, one afternoon, one light — then cut two blob crops out of that single photograph.",A16,ABOUT B1,image,"yes — one light, one place, one moment",human · expensive,"Keeps the blob-crop invariant intact. A photography-brief note, not a layout change",EASY,none,one frame means a single failed shoot loses both portraits,16,ABOUT
A-24,B5's knockout needs a busy photograph. Over open sky the letterform has nothing to cut against; A17 works because the meadow is noise.,A17,ABOUT B5,image,yes — the moment depends on the subject's texture,expensive · minimal,Corrects the asset brief for moment 7 without moving the moment,EASY,none,"if no busy sky exists the moment moves to the meadow, and H10 then loses its image",19,ABOUT
A-25,"Perforate exactly one letter, on the honeycomb's offset lattice rather than a square grid, so moment 7 carries the mark's own cell geometry.",A17,ABOUT B5,image,"yes — the perforation is the mark's geometry, not a texture",futuristic · minimal,Binds moment 7 to the mark. The wordmark face stays OPEN,MEDIUM,none,a perforated letter loses legibility at small viewports,19,ABOUT
A-26,Running-head option: set the section index vertically along the outer margin instead of horizontally at the top.,A18,site-wide,type,no — a placement choice with nothing to derive from,minimal · expensive,An alternative to §10's horizontal running head. Picking one drops the other,EASY,none,vertical type is harder to read and needs a horizontal equivalent for assistive technology,30,SITE-WIDE
A-27,"Confirmation email: bone ground, one small rectangle of sky at the system radius dissolving at its edges, one serif line, the next step in mono.",A19,TOUCHPOINT confirmation email,component,partial — the aperture idea executed in the system's shape,human · clean,"A19's circle conflicts with the shape table, so the rectangle is the admissible form",EASY,none,email clients strip the dissolve mask; it needs a flattened fallback image,40,TOUCHPOINT/OFF-SITE
A-28,Pan H10's meadow bottom-left to top-right so the blur streaks lie along the mark's flight lines.,A20,HOME H10,image,yes — the photograph's own motion carries the site's one direction,human · expensive,"Aligns moment 3 with §7 rule 1. A shooting note, no budget change",EASY,none,a generated clip may not honour a specified pan direction,9,HOME
A-29,"Social template: one motion-blurred frame from the site's own world, full bleed, one Instrument Serif line in the quietest band, sign-off in mono. Off-site.","A20, A18",TOUCHPOINT LinkedIn / social,off-site,"yes — the same world, no new effect invented",human · expensive,"Reuses moment 3's look off-site, where the once-per-site budget does not apply",EASY,none,a moment reused off-site weakens its on-site singularity where audiences overlap,40,TOUCHPOINT/OFF-SITE
A-30,"The hero swarm is anatomy-keyed: density propagates along the direction the raised hand points, thickening at the fingertips and thinning away from them.",A21,HOME H1,motion,yes — the field obeys the hand's own geometry,technological · human,"Refines §5's hero. The hand is posed on the flight-line diagonal, so §7 rule 1 still holds",MEDIUM,none,the pose has to be shot for it; a wrong pose kills the effect entirely,1,HOME
A-31,Type anchors to a cell's bottom-left edge on the H4 artefact card and on the form's fields. Never centred inside a cell.,A22,HOME H4 · ASK D2,component,partial — a layout rule,clean · expensive,Restates the art-direction brief §5 as a component rule. No conflict,EASY,none,none material,3,HOME
A-32,"Moment 5: press the subject against the mesh so the parts touching it are sharp and everything behind falls into darkness. The mesh gives depth, not pattern.",A23,APPROACH A6,image,yes — the mesh is a physical object the subject meets,expensive · human · futuristic,"Specifies moment 5, which the brainstorm flagged as weakest. A23's square wire and ribbed glass stay on the not-used list",MEDIUM,none,needs a real hexagonal mesh and a real shoot; no generated version has the contact sharpness,15,APPROACH
B-01,"Social template: one subject twice across a hard vertical seam — sampled-dot conversion on bone left, the photograph with square tiles knocked out right.",B01,LinkedIn/social template (**off-site**),off-site,"yes — both halves are the same subject, two modes",expensive · technological,"Off-site, so spends no on-site moment. Uses ART-DIRECTION §4's two colour modes side by side. Displaces nothing.",MEDIUM,none,A diptych invites a before/after read; nothing here is a before or after,40,TOUCHPOINT/OFF-SITE
B-02,"Build the mosaic dissolve as **subtractive** square knockouts at the grid pitch — ground punched out of the photo, never tiles laid on it.",B01,"every photo edge, sitewide",component,"yes — the gaps are the mechanism, not an overlay",technological · clean,Implements a Layer 1 invariant; conflicts with nothing. Displaces nothing.,EASY,none,At low density a knockout reads as file damage rather than dissolve,30,SITE-WIDE
B-03,"Set the same mono string at two corners of one frame — the running head and the footer sign-off are one identical line, repeated at the page's ends.",B01,instrument layer · footer,type,n/a — no effect on a photograph,minimal · expensive,Uses the instrument layer (§10). Displaces nothing.,EASY,none,Repetition can read as a template artefact if the string is generic,10,HOME
B-04,"A real hand placing a single square tile, as the one supporting image on an artefact card — the site's own dissolve unit as a physical object.",B02,"H4 What ""done"" means",image,"partial — derived from the site's mechanism, not from a photographed subject",human · technological,Would add an eighth photographic surface; §3 counted seven deliberately. Displaces one.,MEDIUM,none,A cropped hand holding a small object is the shape of stock photography,3,HOME
B-05,"Moment 7 re-executed: build the wordmark from circular dots, each dot filled with the sky sampled at its own position — letters as a core sample, not a hole.",B03,B5 About close,image · type,yes — every dot is the pixel beneath it (conversion mode),expensive · futuristic · clean,"**Refines assigned moment 7; adds no moment.** Needs the wordmark face, still OPEN (§8). Displaces nothing.",MEDIUM,none,Dots at letter scale need enough tonal range or the word stops being readable,19,ABOUT
B-06,"Chapter pair: the same subject once as white marks over the photograph, once as photo-filled marks on bone, either side of a hard ground cut.",B03,"Home, bone→black cut",image · layout,"yes — one subject, both modes",technological · expensive,"**Costs a moment slot** — using both colour modes on one subject makes the pair a style, not a moment. Displaces one listed moment.",HARD,none,Two treatments of one subject halves the impact of each,50,OTHER
B-07,"The scattered sentence descends **vertically down one column** beside the image, one word per band, instead of bracketing it.","B03, B11",H10 Close · A6 Close,type · layout,n/a — typographic,minimal · human,"**Already proposed** (§17.1) as a diagonal bracket. New: the vertical descent, which binds to the running section index.",EASY,none,A vertical read fights the measure rule if the words get long,9,HOME
B-08,"Alternative to §17.3 for H7: broken vertical columns of mono characters at hairline contrast on the black ground, spelling nothing.","B04, B08",H7 What you're choosing between,type,"**no** — the chapter has no subject, so nothing derives it",futuristic · minimal,"Cheaper than §17.3's second dot field and spends no renderer. Displaces §17.3's corner fields, not a moment.",EASY,none,Characters that spell nothing still get read; a stray word is a coined term,6,HOME
B-09,"In every mark field, ramp **density** toward the edge, not radius — marks hold one size and thin to isolated units.",B05,"sitewide, both renderers",component,yes — implements the dissolve invariant,clean · technological,"Layer 1 edge rule, made specific. B05 ramps radius and reads as wallpaper. Displaces nothing.",EASY,none,Uniform-size marks at low density can look like dust on the screen,30,SITE-WIDE
B-10,"A real cyanotype of sky as the single large blue field on the site — a photographic print owns its colour, so the neutral system holds.",B06,A6 Close (alternative to the honeycomb),image,"partial — a real process on a real negative, but chosen rather than derived",expensive · human,"**Takes the ""cyanotype / antique-process"" reserve slot** — adding it means removing a listed technique. A6 is already flagged weakest (§3).",MEDIUM,none,One period process used once reads as a choice; twice reads as a filter,15,APPROACH
B-11,"Real paper grain in the bone ground itself, not only in the photographs.","B06, B09",sitewide ground,component,n/a,expensive · human,**CONFLICTS with Layer 1** — ground is a flat token. Not mine to change: raise with the founder.,EASY,none,Grain on the ground competes with grain in the photographs,30,SITE-WIDE
B-12,"404: full-bleed defocused daisies, no marks at all, one serif line on bone above the image.",B07,404,image,"yes, trivially — there is no overlay to justify",human · clean,"Departs from §11's ""bone, one line, no illustration"". Costs one photographic surface.",EASY,none,A beautiful 404 rewards a dead end; §11 chose austerity on purpose,40,TOUCHPOINT/OFF-SITE
B-13,"Any warm colour field on the brand is a real out-of-focus photograph, never a mesh or a gradient.","B07, B04",confirmation email · audit cover · favicon backdrop,component · off-site,"yes — the blur is the lens's, not a filter's",clean · expensive,"Answers the reserve's ""colour without a gradient mesh"". Displaces nothing.",EASY,rejects gradient mesh by name,A defocused field can read as an unloaded image,40,TOUCHPOINT/OFF-SITE
B-14,"H10 refinement: the ""one un-effected anchor"" rule applies to **treated** frames only. An untreated photograph needs no spared sharp detail.","B07, B18",H10 Close,image,yes — scopes a compositing rule rather than breaking it,human,Clarifies a Layer 3 compositing rule's reach. Displaces nothing.,EASY,none,Without any sharp point the close can read as an out-of-focus mistake,9,HOME
B-15,The hero swarm's character ramp contains **no letters** — only marks taken from the mark's flight-line stripes.,"B08, B20",H1 Hero,component,yes — the ramp comes from the mark's own geometry,technological · futuristic,"Settles ART-DIRECTION §7's open ""which mark"" for the hero. Uses moment 1. Displaces nothing.",EASY,none,"A slash ramp at small scale reads as rain, not as a swarm",1,HOME
B-16,"Concentrate mark density where **motion** is, not where luminance is — anatomy-keyed disruption along the subject's own direction of travel.","B08, B17",H5 set-piece frames,motion · image,"yes, strongly — the marks track what the subject is doing",futuristic · technological,Uses ART-DIRECTION §3's rarest combination method. Refines moment 2's frames. Displaces nothing.,MEDIUM,none,Per-frame motion masks are the most expensive thing in the pipeline,4,HOME
B-17,"The gap is the subject: the interval between the raised hand and the bee is about one hand-width, vertically centred, three-quarters of the frame left empty.",B09,H1 Hero,layout,yes,minimal · expensive · human,"**Already proposed** (§5, ""a fingertip's distance""). New: a measurable interval, and it argues for a wider one.",EASY,none,A wide gap weakens the contact reading the hero depends on,1,HOME
B-18,"D2 submitted state: after the form dissolves, one mono line sits at mid-height on an otherwise empty ground.",B09,D2 the form,interaction · layout,n/a,minimal · expensive,Uses the edge physics already assigned to the submit (§11). Displaces nothing.,EASY,none,An empty screen after submit can read as a failed request,21,ASK
B-19,"Treat the running head as one sentence with two ends — section index top-left, local time top-right, read across the frame.",B10,"instrument layer, every page",type,n/a,technological · minimal,**Already proposed** (§10) as two separate devices. New: they are one line. Displaces nothing.,EASY,none,A live clock is a thing that can visibly break,30,SITE-WIDE
B-20,Every survey call-out must key to a real feature of its frame. B10's circle is eight evenly spaced dots — a diagram of nothing.,"B10, B16",H5 · B1 (the §17.2 survey layer),component,yes — this is the clause that keeps §17.2 legal,technological · clean,Sharpens the survey-annotation reserve technique §17.2 already spends. Displaces nothing further.,EASY,none,A regular plotted circle is decoration wearing a lab coat,4,HOME
B-21,"The hero bee is **occupancy** modulation — uniform cream marks, silhouette clipped and stepped to the grid, isolated marks at the wingtips. The set-piece is radius. Never mixed.","B11, B05",H1 Hero · H5 set-piece,component,yes,futuristic · technological · clean,"**Already proposed** in substance (§5). New: the explicit occupancy/radius split, which resolves ART-DIRECTION §7 per surface.",MEDIUM,none,A stepped silhouette against clean sky can read as a low-resolution asset,1,HOME
B-22,"Hero geometry: camera at ground level, subject leaning in from one side and cropped by the frame edge, sky the whole background, contact at the optical centre.","B12, B21",H1 Hero,image,yes,human · expensive,Photography-brief constraint under §1's world. Cite B12 for **angle only** — phones and screens are on the never list. Displaces nothing.,EASY,none,Shooting up a person's nose is one degree away from comedy,1,HOME
B-23,"B1 alternative: one photograph of both founders from below against sky, cropped by both edges, instead of two blob crops.",B12,B1 Adam and Yarden,image · layout,yes,human · expensive,"**CONFLICTS** — reclassifies the photo's job from human presence (blob crop) to full-bleed statement (no crop), and the shape rule follows the job. Raise, do not decide.",HARD,none,One frame means one shoot day and no independent recrop later,16,ABOUT
B-24,"Capture grain in camera, not in post. B21 has none and reads synthetic; B12 and B18 carry native grain and read real.","B12, B18, B21",every photographic surface,image,"yes — ""sharp mark against imperfect photograph"" fails if the imperfection is added afterwards",human · expensive,Photography-brief constraint. Bears directly on §12's open real-or-generated hero decision.,EASY,none,Film is slower and less recoverable than digital,30,SITE-WIDE
B-25,A6 build note: the mesh is a physical object between camera and subject. Its cell scale stays constant across the frame while the subject's does not.,B14,A6 Close,image,"yes — the constancy is what proves it is real, not drawn",technological · human,Implements moment 5 if it survives. Displaces nothing.,MEDIUM,none,A real mesh shoot has one chance to get the moiré right,15,APPROACH
B-26,"Shoot into the sun so one region blows out and the mesh disappears there — that burnt patch is the un-effected anchor, obtained for free.",B14,A6 Close,image,yes,expensive · human,Satisfies the Layer 3 anchor rule without adding an element. Displaces nothing.,EASY,none,Blown highlights are unrecoverable if the frame is wrong,15,APPROACH
B-27,"Re-source or drop moment 5: B14's mesh is **square**, and square wire mesh is on the not-used list. Nothing in slice B shows a hexagonal mesh.",B14,A6 Close · Layer 3,image,n/a — a sourcing finding,—,`DESIGN-LANGUAGE.md` L126 cites B14 as a moment-5 source while L130 lists square mesh as superseded. A6 either shoots a real honeycomb or takes ground and type only.,EASY,none,Building moment 5 on a mis-cited source spends a moment on an untested idea,15,APPROACH
B-28,The annotation line passes **behind** part of the subject and in front of the rest. Occlusion proves the overlay knows the subject's depth.,B15,H5 call-outs · B1 name pins,component,"yes, strongly — an overlay that cannot be dropped on another photo unchanged",technological · expensive · clean,"Rescues §17.2's survey layer from reading as stickers. Uses that reserve slot, adds nothing.",MEDIUM,none,Per-frame occlusion masks for a 90-frame scrub are real work,4,HOME
B-29,"A third safe class of number: figures that measure the **photograph** — a distance across the frame, a time of day, a focal length. Never the company.",B16,instrument layer · H5 call-outs,type,yes — it measures this frame and no other,futuristic · technological,Sits beside §10's texture rule and §17.2's words-only rule. **Founder call** — §10 bans any figure mistakable for a claim.,EASY,none,Any figure on a marketing page gets read as a metric first,4,HOME
B-30,"The running section index runs vertically up the left hairline rule, one word tall, instead of horizontally at the top.",B16,instrument layer,type · layout,n/a,minimal · futuristic,Uses the exposed column grid (Layer 1). Displaces the §10 horizontal running head.,EASY,none,Rotated type is hostile to screen readers and to narrow viewports,40,TOUCHPOINT/OFF-SITE
B-31,Late-day sun from overhead makes shadows longer than their subjects. Shoot so the shadow is the second subject.,B16,H1 · H10 · B1,image,yes,human · expensive,"Photography-brief constraint under §1's ""outside, late in the day"". Displaces nothing.",EASY,none,The window for that light is about forty minutes,1,HOME
B-32,"Ghost twin at H4: the blueprint overlay draws the struck buzzword line a second time, faint, in the hairline colour, behind the rewrite.",B17,"H4 What ""done"" means",type · component,yes — it is the same line a moment later,technological · clean · expensive,Uses ART-DIRECTION §3's ghost-twin method inside assigned moment 6. Adds no moment. Displaces nothing.,EASY,none,Two versions of one line in one card can read as a rendering bug,3,HOME
B-33,Ghost twin at H5: the closed bud carries a faint glyph outline of the open flower it becomes; outline and dots converge as the scrub advances.,B17,H5 set-piece,motion · image,"yes — the same subject, later",futuristic · expensive,Refines assigned moment 2. Costs frames against the ≤90 / ≤1.5 MB budget.,HARD,none,"A preview of the outcome reads as a forecast, which is a claim",4,HOME
B-34,"The glyph arms reach toward the scattered words, so each word sits at the end of an arm — the sentence is tied to the image structurally, not by position.",B17,H1 Hero,layout · type,yes,expensive · technological,**Already proposed** (§17.1) as position only. New: the structural tie. Displaces nothing.,MEDIUM,none,Words anchored to a canvas field must reflow when the canvas does,1,HOME
B-35,"Pan the H10 meadow along the mark's flight line, bottom-left to top-right, so the photograph itself obeys the site's one direction of motion.",B18,H10 Close,image,"yes — the direction comes from the mark, the blur from the camera",expensive · human,Makes an untreated photograph part of the system at zero build cost. Uses moment 3. Displaces nothing.,EASY,none,A pan is one take; the diagonal either lands or the frame is unusable,9,HOME
B-36,"Keep the **stems** sharp and let the heads smear. The anchor is structural, not a spared detail.",B18,H10 Close,image,yes,human · clean,"Refines §3's ""one sharp flower head, or nothing"" inside moment 3. Displaces nothing.",EASY,none,Stems are thin; at low shutter they smear too,9,HOME
B-37,"**Raise, do not decide:** the corpus's warm is orange-gold and its cold is cobalt. Pine appears in almost no image in slice B, so a pine CTA beside a photographic fold is a third hue.","B18, B07, B21, B12",H1 · every accent-filled CTA,component,n/a,—,**CONFLICTS with a Layer 1 invariant** (accent tokens are locked and measured). §1.4 solved accent-*on*-photo by placement; accent-*beside*-photo is the adjacent open question. Founder's call.,EASY,none,Reopening a measured colour token can break every contrast figure at once,1,HOME
B-38,A3: the argument for one quiet inline photograph. In B19 the single photograph anchors a row of three abstract panels; A3 is the site's longest read and currently has none.,B19,A3 The work gets done,image,"yes if treated, n/a if not",human,Storyboard allows one inline image; §4 proposes none. Would add an eighth photographic surface. Displaces one.,EASY,none,Approach is a document; an image invites it to become a page,12,APPROACH
B-39,A hard stepped silhouette clip is permitted only where the surrounding photograph carries no detail at all.,B20,H1 · H5 · sitewide,component,yes — scopes the dissolve rule instead of contradicting it,clean · technological,"Qualifies Layer 3's ""the only permitted hard boundary is a silhouette clip"". Displaces nothing.",EASY,none,The exception is the kind that quietly becomes the rule,1,HOME
B-40,Set-piece source clip: shoot the bud at a very wide aperture so the treated flower is the only in-focus thing. The blur is the anchor.,B20,H5 set-piece,image,yes,expensive · futuristic,Refines assigned moment 2's capture. Displaces nothing.,EASY,none,Wide-open macro at 90 frames means most frames miss focus,4,HOME
B-41,"Hero composition mirror: subject low at bottom-left cropped by the left edge, sky open to the upper right, the swarm thickening along that diagonal.","B21, B12",H1 Hero,layout,yes — the composition travels the mark's flight line,expensive · futuristic,**Argues against §4's photo-right / words-left arrangement.** Uses moment 1 either way. Displaces nothing but reverses a proposal.,MEDIUM,none,Words on the right fights serial position for the headline,1,HOME
B-42,The hero subject wears exactly one warm colour and nothing else in frame is warm — the page's entire warmth comes from a garment.,"B21, B12",H1 Hero,image,yes,human · expensive · clean,Gives Von Restorff its one thing for free and keeps photography as the only colour source. Displaces nothing.,EASY,none,Wardrobe is the easiest thing to get wrong on a shoot day,1,HOME
B-43,"Evidence for the real-or-generated hero decision: B21, the founder's own low-angle reference, shows the generated tell — poreless skin, no grain, malformed fingers.",B21,H1 Hero (§12 risk),image,n/a,human,Bears on §12's open founder decision. Not a new risk; the risk is stated there.,EASY,none,"Stated once, at §12",1,HOME
B-44,"The mark small, flat white, on an open-sky photograph, clouds low, the rest of the frame empty.",B22,confirmation email · social template · audit cover,off-site · component,yes — nothing is overlaid,clean · expensive · minimal,"Off-site, so spends no moment. Matches the mark's white-on-blue mockups (`_index-logo` Part 3). Displaces nothing.",EASY,none,A mark alone on sky says nothing about what the company does,40,TOUCHPOINT/OFF-SITE
B-45,"**Record, do not adopt:** four clouds arranged in the mark's pinwheel geometry. This is mark-as-real-object, already on the not-used list.",B22,—,image,"partial — the clouds are the mark, but it illustrates the name, not the offer",futuristic,"On the Layer 3 not-used list. Adopting it means removing a listed moment, and §6 already rejected a honeycomb filling for the same reason.",HARD,none,It is the most seductive image in the slice and the least about the offer,50,OTHER
B-46,"Social template's fixed format: the same photograph in two states, side by side, at one radius, on one ground.","B22, B01",LinkedIn/social template (**off-site**),off-site,yes,technological · clean,Off-site. Displaces nothing.,EASY,none,A fixed diptych gets boring by the fourth post,40,TOUCHPOINT/OFF-SITE
B-47,"Real gouache, photographed: if a warm colour field is ever needed it is a painted surface with visible brush drag, arriving as a whole-cell fill, strokes on the flight-line diagonal.",B23,audit cover · confirmation email,component · off-site,"yes — the drag is the brush's, and the direction is the mark's",expensive · human,"**Takes the ""painted gouache"" reserve slot.** Uses ART-DIRECTION §5's whole-cell fill rule. Adding it means removing a listed technique.",MEDIUM,rejects gradient mesh by name,Paint photographed badly is indistinguishable from a gradient,40,TOUCHPOINT/OFF-SITE
B-48,"Audit cover alternative to §17.4: a painted ground, a different pull per audit, the visitor's domain small in mono, nothing else.",B23,the free footprint audit document (**off-site**),off-site,yes,expensive · human,"Alternative to §17.4's botanical prints. The argument: the audit is **made**, not collected, so paint is the truer metaphor than a pressed specimen.",MEDIUM,none,Two candidate covers is one more decision than the artefact needs,40,TOUCHPOINT/OFF-SITE
B-49,"**Reject by name:** the floating white card with a progress bar. It is an interface, and a progress bar asserts a duration.","B23, B13, B19",—,component,n/a,—,"Doubly forbidden: nothing that looks like an interface (A5 rule, extended sitewide by §1.3) and no durations as claims.",EASY,frosted/floating pill · fake UI,none — recording it prevents it,50,OTHER
C-01,"A single word set in the site's own dot grid, half-dissolved into isolated marks, as the 404's only display element — the page that dissolved.",C01,404,type,yes — a 404 *is* a thing that dissolved; the site's edge physics is the subject,futuristic · minimal · clean,"Dots are spent at H5 and possibly H7; putting dot-type off Home keeps it a moment, not a through-line. Displaces the plain serif 404 line in §11",MEDIUM,none,"half-legible dot type reads as a rendering bug, not a decision",40,TOUCHPOINT/OFF-SITE
C-02,"Run the section index vertically up the left hairline rule in mono, instead of horizontally across the page top.","C01, C10",all pages · instrument layer,type,"n/a — instrument, not an effect",technological · minimal,Sits on the column grid the invariants already expose. Displaces §10's top-of-page running head,EASY,none,rotated type needs an unrotated DOM equivalent or it is unreadable to assistive tech,30,SITE-WIDE
C-03,"The hero's bee is a **ghost twin**: a second bee-form offset from and overlapping the real subject, in an attitude nothing in the photograph holds.",C02,H1,image,"yes — an offset twin is the swarm *acting*, not an outline traced off the photo",futuristic · human,"Refines moment 1 (already proposed, §5). Mechanism is named in `ART-DIRECTION-BRIEF` §3",MEDIUM,none,an offset duplicate can read as a print registration error,1,HOME
C-04,"Swarm density runs along the flight-line diagonal, heaviest ahead of the raised hand and thinning to isolated marks behind it.",C02,H1,motion,yes — density maps the swarm's direction of travel,futuristic · technological,Ties §7 rule 1 to the renderer's density map. Spends nothing new,EASY,none,a directional gradient can be mistaken for a lighting effect,1,HOME
